Kreis,Einwohner,Dichte
Saarpfalz-Kreis,142196,340
Sächsische Schweiz-Osterzgebirge,245586,148
Salzlandkreis,189125,133
Schaumburg,157820,234
Schleswig-Flensburg,201156,97
Schmalkalden-Meiningen,124916,100
Schwalm-Eder-Kreis,179673,117
Schwandorf,147872,101
Schwarzwald-Baar-Kreis,212506,207
Schwäbisch Hall,196761,133
Schweinfurt,115445,137
Segeberg,277175,206
Siegen-Wittgenstein,276944,244
Sigmaringen,130849,109
Soest,301785,227
Sömmerda,69427,86
Sonneberg,57717,125
Spree-Neiße,113720,69
St. Wendel,87007,183
Stade,204512,162
Starnberg,136667,280
Steinburg,131013,124
Steinfurt,448220,250
Stendal,111190,46
Stormarn,244156,319
Straubing-Bogen,101120,84
Südliche Weinstraße,110521,173
Südwestpfalz,94831,99
Teltow-Fläming,169997,81
Tirschenreuth,72046,66
Traunstein,177319,116
Trier-Saarburg,149398,136
Tübingen,228678,440
Tuttlingen,140766,192
Uckermark,118947,39
Uelzen,92389,64
Unna,394891,727
Unstrut-Hainich-Kreis,102232,104
Unterallgäu,145341,118
Vechta,142814,176
Verden,137133,174
Viersen,298863,531
Vogelsbergkreis,105643,72
Vogtlandkreis,225997,160
Vorpommern-Greifswald,235623,60
Vorpommern-Rügen,224702,70
Vulkaneifel,60646,67
Waldeck-Frankenberg,156406,85
Waldshut,171003,151
Warendorf,277840,211
Wartburgkreis,118974,94
Weilheim-Schongau,135478,140
Weimarer Land,82156,102
Weißenburg-Gunzenhausen,94734,98
Werra-Meißner-Kreis,100629,98
Wesel,459976,441
Wesermarsch,88583,108
Westerwaldkreis,201904,204
Wetteraukreis,308339,280
Wittenberg,124953,65
Wittmund,56926,87
Wolfenbüttel,119622,166
Wunsiedel im Fichtelgebirge,72655,120
Würzburg,162302,168
Zollernalbkreis,189363,206
Zwickau,315002,332
